timestamp,actual_value,predicted_value,forecast_error,abs_error,risk_level,recommendation,reason,model_version
2016-01-27 08:50:00,57.0,60.71928384334817,3.7192838433481725,3.7192838433481725,NORMAL,CONTINUE_MONITORING,Predicted appliance energy is 60.72 Wh; warning/high/critical thresholds are 98.00/141.00/205.10 Wh.,linear_regression_v1
2016-01-27 09:00:00,54.0,64.73287800470825,10.732878004708255,10.732878004708255,NORMAL,CONTINUE_MONITORING,Predicted appliance energy is 64.73 Wh; warning/high/critical thresholds are 98.00/141.00/205.10 Wh.,linear_regression_v1
2016-01-27 09:10:00,53.0,63.79052993752706,10.790529937527062,10.790529937527062,NORMAL,CONTINUE_MONITORING,Predicted appliance energy is 63.79 Wh; warning/high/critical thresholds are 98.00/141.00/205.10 Wh.,linear_regression_v1
2016-01-27 09:20:00,45.0,60.090800762870984,15.090800762870984,15.090800762870984,NORMAL,CONTINUE_MONITORING,Predicted appliance energy is 60.09 Wh; warning/high/critical thresholds are 98.00/141.00/205.10 Wh.,linear_regression_v1
2016-01-27 09:30:00,54.0,57.13115423170112,3.1311542317011174,3.1311542317011174,NORMAL,CONTINUE_MONITORING,Predicted appliance energy is 57.13 Wh; warning/high/critical thresholds are 98.00/141.00/205.10 Wh.,linear_regression_v1
2016-01-27 09:40:00,51.0,60.179974911656444,9.179974911656444,9.179974911656444,NORMAL,CONTINUE_MONITORING,Predicted appliance energy is 60.18 Wh; warning/high/critical thresholds are 98.00/141.00/205.10 Wh.,linear_regression_v1
2016-01-27 09:50:00,38.0,56.94396522764452,18.94396522764452,18.94396522764452,NORMAL,CONTINUE_MONITORING,Predicted appliance energy is 56.94 Wh; warning/high/critical thresholds are 98.00/141.00/205.10 Wh.,linear_regression_v1
2016-01-27 10:00:00,37.0,55.87742235309803,18.877422353098027,18.877422353098027,NORMAL,CONTINUE_MONITORING,Predicted appliance energy is 55.88 Wh; warning/high/critical thresholds are 98.00/141.00/205.10 Wh.,linear_regression_v1
2016-01-27 10:10:00,135.0,45.818815827788725,-89.18118417221127,89.18118417221127,NORMAL,CONTINUE_MONITORING,Predicted appliance energy is 45.82 Wh; warning/high/critical thresholds are 98.00/141.00/205.10 Wh.,linear_regression_v1
2016-01-27 10:20:00,111.0,111.8895925739834,0.889592573983407,0.889592573983407,WARNING,MONITOR_AND_PREPARE_ENERGY_SAVING_ACTION,Predicted appliance energy is 111.89 Wh; warning/high/critical thresholds are 98.00/141.00/205.10 Wh.,linear_regression_v1
